image_id,crop_type,disease,severity,leaf_color_r,leaf_color_g,leaf_color_b,texture_contrast,texture_homogeneity,lesion_area_pct,image_width,image_height,brightness
23304,grape,healthy,moderate,100.537,160.331,95.986,0.259,0.831,0.36,256,224,118.951
7560,potato,healthy,mild,95.722,172.85,98.083,0.211,0.826,0.54,512,512,122.218
8110,potato,healthy,moderate,117.183,175.787,90.226,0.27,0.815,0.14,256,256,127.732
9964,potato,early_blight,mild,162.363,130.383,74.006,0.487,0.585,12.22,224,256,122.251
18559,wheat,healthy,moderate,116.819,181.356,96.161,0.146,0.92,0.73,224,512,131.445
19149,wheat,septoria,moderate,185.417,155.628,125.276,0.548,0.528,21.24,256,512,155.44
11846,corn,rust,severe,219.087,139.306,69.44,0.637,0.53,36.45,256,256,142.611
16203,wheat,septoria,severe,183.734,175.462,136.628,0.753,0.426,48.75,224,224,165.275
11152,corn,gray_leaf_spot,mild,142.19,140.17,101.638,0.475,0.615,13.69,256,256,127.999
21347,grape,downy_mildew,moderate,137.038,111.78,119.619,0.626,0.502,49.88,224,224,122.812
17058,wheat,septoria,moderate,162.263,162.618,123.307,0.585,0.574,26.35,256,224,149.396
20641,grape,downy_mildew,severe,155.884,115.558,101.887,0.433,0.69,55.81,224,256,124.443
7135,potato,late_blight,moderate,141.507,94.95,89.852,0.503,0.577,57.1,256,224,108.77
22155,grape,healthy,moderate,103.385,153.82,72.678,0.186,0.822,0.29,224,256,109.961
6681,potato,early_blight,mild,160.387,140.344,85.055,0.545,0.52,6.86,224,512,128.595
2863,tomato,early_blight,mild,183.683,157.866,64.639,0.466,0.623,13.38,224,256,135.396
20217,grape,black_rot,moderate,85.403,50.403,82.655,0.647,0.507,45.13,512,512,72.82
16874,wheat,healthy,severe,107.636,187.327,72.594,0.14,0.849,2.9,256,224,122.519
14807,corn,powdery_mildew,mild,206.59,200.94,201.265,0.394,0.654,21.87,224,512,202.932
23233,grape,downy_mildew,moderate,128.656,117.588,90.671,0.69,0.433,52.09,256,512,112.305
4762,tomato,healthy,moderate,97.946,164.546,66.094,0.29,0.812,0.39,256,512,109.529
9080,potato,early_blight,moderate,191.641,134.055,54.841,0.612,0.553,14.56,512,512,126.846
11588,corn,healthy,mild,95.433,143.868,61.012,0.285,0.769,0.46,224,512,100.104
11328,corn,gray_leaf_spot,moderate,152.483,140.69,108.453,0.568,0.583,36.82,512,224,133.875
19595,wheat,powdery_mildew,severe,221.629,223.474,215.216,0.318,0.763,61.99,512,224,220.106
